ID,Ploidy,Height,n.flowers,n.fruits,Fitness,Init.Day,Peak.Day,End.Day,Tot.Days,Max.n.open.flowers,X_Sp_Ap,X_Sp_Met,X_Sp_Fauc,Y_Sp,X_Lab_Max,X_LobLat,Y_Lab,X_LobMed,Y_LobMed,X_SepSx,Y_SepSx,X_SepDx,Y_SepDx,X_SepCen,Y_SepCen,X_PetSx,Y_PetSx,X_PetDx,Y_PetDx
M2,4n,19,13,8,0.615,135,135,135,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3,4n,36,53,28,0.528,135,144,156,21,27,0.08,0.12,0.14,1.41,0.9,0.61,0.62,0.24,0.36,0.2,0.52,0.25,0.5,0.24,0.54,0.3,0.66,0.26,0.61
M4,4n,35,46,13,0.283,135,141,159,24,28,0.06,0.09,0.12,1.68,0.9,0.71,0.67,0.19,0.42,0.24,0.58,0.24,0.58,0.18,0.56,0.25,0.71,0.25,0.7
M5,4n,32,54,23,0.426,135,147,156,21,38,0.07,0.08,0.15,1.42,0.94,0.84,0.77,0.22,0.44,0.25,0.49,0.23,0.53,0.18,0.56,0.23,0.56,0.19,0.64
FOC,3n,21,52.7,9.3,0.177,135,147,156,21,31,0.08,0.12,0.14,1.44,0.87,0.61,0.63,0.19,0.29,0.23,0.46,0.18,0.45,0.17,0.45,0.19,0.55,0.21,0.53
OSD1,3n,40,37,17,0.459,138,141,147,9,29,0.09,0.12,0.13,1.64,0.95,0.74,0.63,0.31,0.26,0.27,0.47,0.32,0.46,0.21,0.51,0.3,0.62,0.28,0.6
OSD2,3n,23,25,3.5,0.14,138,147,156,18,27,0.08,0.1,0.12,1.41,0.82,0.62,0.64,0.19,0.24,0.28,0.47,0.29,0.52,0.19,0.5,0.17,0.62,0.21,0.63
OSD3,3n,17,28,4,0.143,138,144,154,16,25,0.08,0.12,0.12,1.29,0.9,0.7,0.75,0.19,0.47,0.23,0.6,0.26,0.6,0.22,0.64,0.23,0.6,0.25,0.61
OSD4,3n,22,45,5,0.111,138,147,156,18,44,0.04,0.08,0.1,1.34,0.77,0.62,0.52,0.17,0.27,0.23,0.41,0.18,0.46,0.18,0.45,0.21,0.54,0.16,0.47
OSD5,3n,31,56,12,0.214,138,156,159,21,45,0.07,0.1,0.12,1.6,1.06,0.75,0.6,0.26,0.34,0.23,0.55,0.28,0.55,0.23,0.46,0.23,0.66,0.25,0.62
LM2,3n,41,39.5,4.7,0.118,132,132,147,15,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROT4,3n,31,NA,NA,NA,138,150,159,21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREM1,2n,32,40,9.5,0.238,135,147,159,24,21,0.1,0.1,0.13,1.3,0.94,0.72,0.69,0.21,0.4,0.19,0.5,0.23,0.53,0.22,0.53,0.2,0.61,0.22,0.63
PREM2,2n,39,45,7.7,0.17,147,156,162,15,28,0.05,0.11,0.11,1.37,0.73,0.57,0.57,0.18,0.28,0.16,0.39,0.11,0.41,0.12,0.44,0.12,0.53,0.25,0.61
PREM3,2n,25,19,6.2,0.326,147,156,159,12,17,0.05,0.07,0.1,1.27,0.57,0.36,0.45,0.15,0.25,0.13,0.38,0.15,0.37,0.1,0.35,0.17,0.46,0.19,0.49
PREM4,2n,34,49.5,2,0.04,147,156,165,18,26,0.07,0.08,0.09,1,0.6,0.47,0.44,0.17,0.24,0.1,0.42,0.13,0.34,0.1,0.39,0.11,0.49,0.18,0.49
PREM5,2n,48,75,17.3,0.231,147,156,165,18,62,0.09,0.09,0.12,1.41,0.8,0.59,0.56,0.19,0.26,0.13,0.41,0.13,0.37,0.15,0.52,0.21,0.52,0.18,0.54
PREM6,2n,19,42,3,0.071,150,156,159,9,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREM7,2n,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREM8,2n,NA,NA,NA,NA,156,156,156,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREM9,2n,25,NA,NA,NA,154,159,159,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PREM10,2n,42,83.5,16.5,0.198,147,156,168,21,75,0.06,0.1,0.15,1.27,0.67,0.5,0.45,0.16,0.2,0.21,0.34,0.21,0.36,0.28,0.44,0.22,0.54,0.28,0.55
LM3,2n,46,76.5,29,0.379,147,159,174,27,111,0.05,0.08,0.15,1.22,0.8,0.51,0.57,0.19,0.29,0.28,0.5,0.21,0.45,0.13,0.44,0.27,0.57,0.18,0.56
LM4,2n,39,58.5,7.5,0.128,147,159,174,27,59,0.06,0.1,0.11,1.02,0.66,0.44,0.5,0.17,0.29,0.16,0.41,0.19,0.43,0.12,0.4,0.23,0.5,0.16,0.53
LM5,2n,26,35,4,0.114,147,159,171,24,24,0.05,0.07,0.1,1.07,0.66,0.42,0.5,0.14,0.27,0.23,0.45,0.23,0.45,0.19,0.44,0.24,0.52,0.26,0.52
LM6,2n,24,22,0,0,150,159,165,15,16,0.04,0.07,0.1,0.98,0.52,0.35,0.39,0.13,0.24,0.19,0.36,0.19,0.36,0.14,0.41,0.17,0.41,0.17,0.33
ROT1,2n,25,35,7,0.2,144,156,159,15,16,0.09,0.11,0.13,1.09,0.68,0.52,0.61,0.17,0.3,0.21,0.42,0.24,0.42,0.18,0.4,0.22,0.54,0.22,0.48
ROT2,2n,38,54.5,22,0.404,135,138,156,21,51,0.15,0.15,0.15,1.46,0.92,0.71,0.62,0.23,0.24,0.23,0.52,0.29,0.52,0.26,0.55,0.22,0.62,0.22,0.67
ROT3,2n,48,85.3,27.7,0.324,138,154,159,21,52,0.08,0.09,0.13,1.47,0.83,0.62,0.52,0.19,0.3,0.2,0.52,0.23,0.56,0.17,0.48,0.17,0.58,0.15,0.62
ROT5,2n,43,40.5,23.5,0.58,135,141,159,24,23,0.06,0.11,0.18,1.82,1.07,0.83,0.74,0.26,0.36,0.26,0.3,0.26,0.53,0.23,0.55,0.26,0.63,0.26,0.67
ROT6,2n,50,75,48,0.64,135,138,159,24,51,0.08,0.1,0.14,1.64,0.94,0.72,0.7,0.2,0.31,0.24,0.54,0.28,0.5,0.19,0.56,0.19,0.68,0.25,0.73
ROT7,2n,37,51,15.5,0.304,147,156,165,18,26,0.04,0.06,0.1,1.01,0.4,0.29,0.35,0.15,0.12,0.17,0.35,0.18,0.31,0.09,0.41,0.15,0.4,0.15,0.4
ROT8,2n,38,38,13,0.342,147,156,159,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,2n,42,31,20,0.645,138,147,159,21,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,2n,24,45.4,12.8,0.282,141,154,159,18,33,0.06,0.08,0.1,1.46,0.64,0.56,0.55,0.16,0.25,0.18,0.41,0.16,0.41,0.22,0.42,0.18,0.48,0.14,0.48
A3,2n,16,26.3,2,0.076,141,154,159,18,21,0.06,0.06,0.09,0.81,0.63,0.52,0.5,0.18,0.24,0.17,0.37,0.17,0.39,0.19,0.35,0.21,0.44,0.19,0.41
A4,2n,20,38.6,11.6,0.301,144,154,159,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,2n,25,85,12,0.141,144,154,159,15,63,0.1,0.1,0.13,1.53,0.96,0.7,0.63,0.21,0.35,0.23,0.41,0.24,0.43,0.2,0.4,0.23,0.51,0.2,0.49
A6,2n,44,78,0.5,0.006,154,159,165,11,15,0.06,0.08,0.1,1.05,0.61,0.48,0.46,0.14,0.26,0.18,0.36,0.17,0.41,0.17,0.37,0.18,0.48,0.19,0.45
A7,2n,37,52.5,5.5,0.105,144,156,174,30,43,0.03,0.05,0.08,0.95,0.55,0.5,0.44,0.16,0.2,0.19,0.34,0.2,0.33,0.2,0.31,0.2,0.4,0.14,0.4
A8,2n,34,31,2.5,0.081,150,159,174,24,19,0.03,0.06,0.09,1.11,0.6,0.47,0.37,0.16,0.24,0.19,0.33,0.19,0.37,0.19,0.36,0.16,0.36,0.18,0.42
A9,2n,40,43,3.5,0.081,150,159,174,24,23,0.04,0.06,0.08,1.28,0.6,0.5,0.42,0.17,0.22,0.22,0.34,0.17,0.32,0.16,0.38,0.12,0.37,0.14,0.36
A10,2n,34,37.75,7,0.185,147,156,162,15,29,0.03,0.04,0.06,1.03,0.56,0.51,0.39,0.16,0.24,0.12,0.32,0.18,0.38,0.18,0.34,0.21,0.38,0.18,0.38
A11,2n,35,47.2,12.6,0.267,141,156,162,21,31,0.04,0.06,0.1,0.79,0.41,0.31,0.28,0.13,0.17,0.15,0.29,0.1,0.28,0.13,0.29,0.16,0.3,0.1,0.28
A12,2n,35,NA,NA,NA,144,156,171,27,25,0.03,0.05,0.06,0.94,0.44,0.36,0.32,0.12,0.11,0.15,0.19,0.16,0.32,0.14,0.28,0.12,0.35,0.12,0.31
A13,2n,39,76,1,0.013,150,159,171,21,48,0.04,0.05,0.08,1.12,0.6,0.49,0.42,0.16,0.18,0.21,0.25,0.15,0.35,0.17,0.29,0.16,0.28,0.16,0.26
A14,2n,52,76.5,12.5,0.163,150,159,174,24,63,0.07,0.1,0.16,1.58,0.77,0.55,0.51,0.18,0.3,0.24,0.43,0.15,0.43,0.25,0.44,0.25,0.54,0.23,0.52
A15,2n,40,32.75,2.25,0.069,150,159,162,12,30,0.04,0.06,0.1,1.24,0.54,0.53,0.41,0.15,0.2,0.09,0.28,0.12,0.32,0.14,0.37,0.14,0.34,0.15,0.36
A16,2n,41,37,4.3,0.117,150,159,165,15,29,0.04,0.08,0.09,1.28,0.64,0.58,0.49,0.19,0.31,0.28,0.36,0.22,0.41,0.2,0.37,0.2,0.41,0.17,0.36
A17,2n,34,27.9,3,0.108,150,159,165,15,28,0.04,0.05,0.06,0.92,0.6,0.52,0.42,0.15,0.27,0.16,0.32,0.15,0.33,0.23,0.28,0.2,0.31,0.19,0.34
A18,2n,38,31,3.7,0.118,150,159,168,18,24,0.03,0.05,0.09,0.93,0.55,0.5,0.38,0.13,0.21,0.22,0.36,0.2,0.37,0.16,0.33,0.15,0.34,0.18,0.38
A19,2n,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A20,2n,42,89,24,0.27,147,156,165,18,45,0.06,0.09,0.11,1.49,0.64,0.49,0.52,0.16,0.28,0.19,0.44,0.17,0.45,0.11,0.28,0.12,0.43,0.17,0.51
A21,2n,44,67.5,14,0.207,144,159,165,21,44,0.03,0.04,0.08,0.92,0.49,0.45,0.42,0.14,0.23,0.17,0.34,0.17,0.34,0.16,0.28,0.12,0.29,0.12,0.22
A22,2n,37,45.3,6,0.132,150,156,159,9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A23,2n,27,38,2.5,0.066,150,156,159,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A24,2n,31,27,6.5,0.241,144,154,159,15,24,0.07,0.11,0.13,1.22,0.76,0.57,0.48,0.15,0.24,0.11,0.35,0.19,0.33,0.21,0.38,0.24,0.45,0.17,0.48
A25,2n,29,33.3,5,0.15,147,159,168,21,31,0.05,0.06,0.08,1.17,0.58,0.53,0.42,0.17,0.19,0.22,0.31,0.17,0.32,0.16,0.3,0.11,0.27,0.11,0.34
A26,2n,30,35,3,0.086,144,156,168,24,26,0.03,0.05,0.07,0.79,0.44,0.42,0.33,0.12,0.19,0.14,0.29,0.17,0.32,0.16,0.33,0.08,0.38,0.13,0.39
A27,2n,27,41,2,0.049,144,156,162,18,28,0.02,0.03,0.06,0.88,0.49,0.35,0.36,0.13,0.17,0.1,0.34,0.1,0.33,0.11,0.25,0.09,0.38,0.11,0.36
A28,2n,36,53,4,0.075,150,156,159,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A29,2n,31,46.7,3,0.064,144,156,162,18,45,0.03,0.04,0.1,0.98,0.41,0.29,0.38,0.16,0.18,0.08,0.42,0.08,0.34,0.12,0.26,0.12,0.44,0.15,0.4
A30,2n,48,81.7,24.7,0.302,144,154,165,21,64,0.1,0.1,0.14,1.46,0.89,0.68,0.71,0.3,0.37,0.26,0.46,0.29,0.41,0.23,0.48,0.22,0.59,0.24,0.58
A31,2n,56,103,32.3,0.314,144,154,165,21,87,0.08,0.12,0.13,1.62,0.95,0.61,0.69,0.21,0.35,0.26,0.54,0.25,0.54,0.27,0.55,0.26,0.6,0.22,0.58
A32,2n,35,84.3,37.3,0.443,144,156,168,24,69,0.09,0.1,0.13,1.55,0.92,0.65,0.62,0.23,0.29,0.21,0.49,0.18,0.44,0.23,0.49,0.24,0.54,0.27,0.6
A33,2n,36,58,17,0.293,144,156,171,27,49,0.12,0.16,0.16,1.48,0.79,0.62,0.62,0.21,0.3,0.25,0.45,0.21,0.35,0.24,0.58,0.24,0.55,0.2,0.58
A34,2n,37,58.7,10.7,0.182,147,156,174,27,44,0.06,0.08,0.11,1.63,0.75,0.6,0.54,0.2,0.33,0.26,0.47,0.24,0.43,0.21,0.42,0.16,0.45,0.19,0.45
A35,2n,32,53.5,18,0.336,147,159,171,24,56,0.06,0.1,0.11,1.25,0.78,0.49,0.48,0.18,0.22,0.22,0.26,0.24,0.38,0.17,0.3,0.21,0.38,0.18,0.38
A36,2n,33,31,4,0.129,147,159,174,27,22,0.05,0.07,0.09,1.15,0.68,0.49,0.46,0.18,0.22,0.2,0.32,0.28,0.25,0.2,0.28,0.14,0.47,0.13,0.43
A37,2n,35,41.3,13,0.315,144,159,168,24,34,0.06,0.07,0.12,1.19,0.68,0.5,0.45,0.18,0.24,0.25,0.4,0.23,0.38,0.18,0.43,0.19,0.41,0.17,0.44
